t,theta,omega_dot
2.1071404760317356,0.013681277424815258,-0.011522666314187822
2.1081405427028472,0.013669486148285443,-0.012057941498796033
2.1091406093739584,0.01365715976667526,-0.012592782984072405
2.11014067604507,0.013644298725826098,-0.013127169861989788
2.1111407427161812,0.013630903492851286,-0.013661081237306937
2.112140809387293,0.013616974556150921,-0.014194496228378836
2.113140876058404,0.013602512425426767,-0.014727393967963234
2.1141409427295157,0.013587517631697096,-0.015259753604031
2.115141009400627,0.013571990727311594,-0.015791554300572646
2.1161410760717385,0.013555932285966164,-0.01632277523840867
2.1171411427428497,0.01353934290271787,-0.0168533956159961
2.1181412094139613,0.013522223193999742,-0.01738339465023883
2.1191412760850725,0.013504573797635684,-0.017912751577294165
2.120141342756184,0.013486395372855314,-0.018441445653383123
2.1211414094272953,0.013467688582211743,-0.01896945617121861
2.122141476098407,0.013448454085541869,-0.01949676246604168
2.123141542769518,0.013428692595739691,-0.020023343868297735
2.12414160944063,0.013408404847572625,-0.02054917973137719
2.125141676111741,0.013387591596607747,-0.021074249433361877
2.1261417427828526,0.01336625361920815,-0.021598532377851254
2.127141809453964,0.013344391712529456,-0.02212200799478488
2.128141876125075,0.013322006694516175,-0.02264465574126843
2.1291419427961866,0.013299099403898148,-0.023166455102397357
2.130142009467298,0.013275670700187031,-0.0236873855920805
2.1311420761384094,0.013251721463672634,-0.024207426753866123
2.1321421428095206,0.01322725259541944,-0.02472655816176439
2.1331422094806323,0.013202265017262944,-0.025244759421073553
2.1341422761517435,0.01317675967180618,-0.025762010169202505
2.135142342822855,0.013150737522416044,-0.026278290076496916
2.1361424094939663,0.013124199553219829,-0.026793578847061825
2.137142476165078,0.013097146769101554,-0.027307856219587763
2.138142542836189,0.01306958019569848,-0.027821101968173324
2.1391426095073007,0.013041500879397467,-0.028333295903151298
2.140142676178412,0.013012909887331468,-0.028844417871911266
2.1411427428495236,0.012983808307375885,-0.029354447759725715
2.1421428095206347,0.012954197248145082,-0.02986336549057262
2.1431428761917464,0.012924077838870812,-0.03037115102794628
2.1441429428628576,0.012893451196765205,-0.030877784371424657
2.145143009533969,0.012862318460360903,-0.03138324556184351
2.1461430762050804,0.012830680811237104,-0.03188751468495186
2.147143142876192,0.01279853945101277,-0.032390571869238965
2.148143209547303,0.012765895601324337,-0.032892397286754436
2.149143276218415,0.012732750503803207,-0.03339297115393187
2.150143342889526,0.012699105420053435,-0.03389227373240902
2.1511434095606377,0.012664961631629237,-0.03439028532985148
2.152143476231749,0.012630320440012667,-0.034886986300772735
2.1531435429028605,0.012595183166591114,-0.03538235704735794
2.1541436095739717,0.012559551152635004,-0.035876378020283935
2.1551436762450833,0.01252342575927528,-0.036369029719543006
2.1561437429161945,0.01248680836748111,-0.03686029269526297
2.157143809587306,0.012449700378037375,-0.037350147548530846
2.1581438762584173,0.012412103211522349,-0.037838574932213
2.159143942929529,0.012374018308285214,-0.03832555555177881
2.16014400960064,0.012335447128423738,-0.038811070166120766
2.1611440762717518,0.012296391151761777,-0.03929509958837818
2.162144142942863,0.012256851877826963,-0.039777624686757315
2.1631442096139746,0.012216830825828194,-0.04025862638535501
2.1641442762850858,0.012176329534633342,-0.04073808566497885
2.1651443429561974,0.012135349562746731,-0.04121598356397084
2.1661444096273086,0.01209389056303883,-0.04169233890193611
2.16714447629842,0.012051958327610688,-0.04216704963593551
2.1681445429695314,0.012009552071286655,-0.042640143697836
2.169144609640643,0.01196667342989841,-0.04311160217825252
2.1701446763117542,0.011923324057296212,-0.04358140624507603
2.171144742982866,0.01187950562534874,-0.04404953714347526
2.172144809653977,0.011835219823943267,-0.044515976195894966
2.1731448763250887,0.01179046836098549,-0.04498070480205765
2.1741449429962,0.01174525296239969,-0.045443704438961875
2.1751450096673115,0.011699575372128582,-0.04590495666088391
2.1761450763384227,0.011653437352133455,-0.0463644430993761
2.1771451430095343,0.011606840682394032,-0.046822145463268516
2.1781452096806455,0.01155978716090862,-0.04727804553866726
2.179145276351757,0.011512278603693957,-0.04773212518895621
2.1801453430228683,0.011464316844785357,-0.04818436635479528
2.18114540969398,0.011415903736236572,-0.04863475105412208
2.182145476365091,0.01136704114811993,-0.049083261382150335
2.183145543036203,0.01131773096852619,-0.049529879511371444
2.184145609707314,0.011267975103564696,-0.049974587691552906
2.1851456763784256,0.011217775477363221,-0.050417368249739906
2.186145743049537,0.011167134032068123,-0.05085820359025375
2.1871458097206484,0.011116052727844177,-0.05129707619469338
2.1881458763917596,0.011064533542874764,-0.05173396862193389
2.1891459430628712,0.01101257846844177,-0.05216886350066739
2.1901460097339824,0.010960189493595203,-0.05260174350615314
2.191146076405094,0.010907368637026798,-0.05303259140855443
2.1921461430762053,0.010854117936123028,-0.05346139005633591
2.193146209747317,0.010800439444966945,-0.05388812237323542
2.194146276418428,0.010746335234338364,-0.054312771358262395
2.1951463430895397,0.010691807391713675,-0.05473532008569948
2.196146409760651,0.010636858021266035,-0.05515575170510097
2.1971464764317625,0.010581489249001933,-0.05557404947306786
2.1981465431028737,0.010525703221383098,-0.05599019674472044
2.1991466097739854,0.01046950209736386,-0.0564041769244489
2.2001466764450965,0.01041288805309906,-0.056815973495030855
2.201146743116208,0.010355863281954706,-0.057225570017700074
2.2021468097873194,0.010298429994508175,-0.05763295013214507
2.203146876458431,0.010240590418548018,-0.05803809755651053
2.204146943129542,0.010182346798327066,-0.05844099609281659
2.205147009800654,0.010123701383286134,-0.05884162970877531
2.206147076471765,0.010064656443213344,-0.0592399824278004
2.207147143142876,0.010005214267550234,-0.05963603833404164
2.208147209813988,0.009945377162188813,-0.06002978159562439
2.209147276485099,0.009885147449471627,-0.060421196464649114
2.2101473431562106,0.009824527468191577,-0.06081026727719263
2.211147409827322,0.009763519573592132,-0.06119697845330664
2.2121474764984335,0.009702126133972705,-0.06158131451972427
2.2131475431695447,0.009640349523817007,-0.06196326015582411
2.2141476098406563,0.009578192140696263,-0.0623428000805654
2.2151476765117675,0.009515656398645655,-0.0627199190967928
2.216147743182879,0.009452744727436232,-0.06309460209610648
2.2171478098539903,0.009389459572575106,-0.06346683405886079
2.218147876525102,0.00932580339530525,-0.0638366000541656
2.219147943196213,0.009261778672600567,-0.06420388523992067
2.2201480098673247,0.00919738788898888,-0.06456867491959772
2.221148076538436,0.00913263354153488,-0.06493095450763829
2.2221481432095476,0.00906751814799753,-0.06529070947280757
2.2231482098806588,0.009002044241170858,-0.06564792537749284
2.2241482765517704,0.008936214368883734,-0.06600258787770488
2.2251483432228816,0.008870031094000074,-0.06635468272307664
2.226148409893993,0.008803496994418637,-0.06670419575686445
2.2271484765651044,0.008736614660100376,-0.06705111293391847
2.228148543236216,0.008669386667107015,-0.06739542047762413
2.229148609907327,0.008601815623601473,-0.06773710460182111
2.230148676578439,0.008533904159422344,-0.06807615157382724
2.23114874324955,0.008465654918984407,-0.0684125477573566
2.2321488099206617,0.008397070561278403,-0.06874627961252062
2.233148876591773,0.008328153759871256,-0.06907733369582703
2.2341489432628845,0.008258907202905846,-0.06940569666018087
2.2351490099339957,0.00818933359310124,-0.06973135525488343
2.2361490766051073,0.008119435647752464,-0.07005429632563336
2.2371491432762185,0.008049216098730721,-0.07037450681452556
2.23814920994733,0.007978677692483182,-0.07069197376005228
2.2391492766184413,0.0079078231900332,-0.07100668429710201
2.240149343289553,0.007836655366980085,-0.07131862565696061
2.241149409960664,0.007765177013499331,-0.0716277851673102
2.2421494766317758,0.007693390934342387,-0.07193415025223021
2.243149543302887,0.007621299938404184,-0.07223770849282408
2.2441496099739986,0.007548906755630001,-0.07253844811009882
2.24514967664511,0.007476214187594194,-0.07283635708990575
2.2461497433162214,0.007403225070795038,-0.07313142339624511
2.2471498099873326,0.007329942254822145,-0.07342363509814243
2.2481498766584442,0.007256368602356198,-0.07371298036964959
2.2491499433295554,0.007182506989169217,-0.0739994474898438
2.250150010000667,0.007108360304124293,-0.07428302484282862
2.2511500766717782,0.007033931449175856,-0.07456370091773283
2.25215014334289,0.006959223339369403,-0.07484146430871165
2.253150210014001,0.006884238902841775,-0.0751163037149456
2.2541502766851127,0.006808981080820877,-0.07538820794064145
2.255150343356224,0.006733452827625957,-0.07565716589503134
2.2561504100273355,0.006657657110667331,-0.0759231665923738
2.2571504766984467,0.006581596910446652,-0.07618619915195261
2.2581505433695583,0.006505275220556648,-0.07644625279807785
2.2591506100406695,0.00642869503443959,-0.07670331692242893
2.260150676711781,0.006351859249062163,-0.07695738153756437
2.2611507433828923,0.006274770843503892,-0.07720843643610667
2.262150810054004,0.00619743283251683,-0.07745647140938834
2.263150876725115,0.00611984824220116,-0.07770147636197454
2.264150943396227,0.006042020110004924,-0.07794344131166397
2.265151010067338,0.005963951484724292,-0.07818235638948794
2.2661510767384496,0.005885645426503293,-0.07841821183971118
2.267151143409561,0.00580710500683409,-0.07865099801983116
2.2681512100806724,0.005728333308556699,-0.07888070540057879
2.2691512767517836,0.005649333425859268,-0.07910732456591765
2.2701513434228953,0.005570108464277807,-0.07933084621304473
2.2711514100940065,0.005490661540696453,-0.0795512611523898
2.272151476765118,0.005410995783347199,-0.07976856030761593
2.2731515434362293,0.005331114331810172,-0.07998273471561901
2.274151610107341,0.005251020337013355,-0.08019377552652832
2.275151676778452,0.005170716945856581,-0.08040167406188149
2.2761517434495637,0.005090207198941737,-0.08060642220155863
2.277151810120675,0.00500949422464904,-0.0808080116495014
2.2781518767917865,0.004928581185657176,-0.08100643413605195
2.2791519434628977,0.004847471254115342,-0.08120168151188914
2.2801520101340094,0.00476616761164296,-0.08139374574802914
2.2811520768051206,0.004684673449329966,-0.08158261893582479
2.282152143476232,0.0046029919677365175,-0.08176829328696623
2.2831522101473434,0.004521126376893287,-0.08195076113348033
2.284152276818455,0.0044390798963011725,-0.08213001492773123
2.285152343489566,0.004356855754931581,-0.08230604724241976
2.2861524101606774,0.004274457191226184,-0.08247885077058402
2.287152476831789,0.004191887453097019,-0.08264841832559909
2.2881525435029,0.004109149797926603,-0.08281474284117678
2.289152610174012,0.004026247492567674,-0.08297781737136628
2.290152676845123,0.003943183813343486,-0.08313763509055341
2.2911527435162347,0.003859962028705325,-0.08329418934501182
2.292152810187346,0.0037765852936833422,-0.08344747396665322
2.2931528768584575,0.003693056855019886,-0.0835974826632584
2.2941529435295687,0.0036093799916002123,-0.08374420919555
2.2951530102006803,0.0035255579898102406,-0.08388764745044267
2.2961530768717915,0.003441594143536846,-0.08402779144104229
2.297153143542903,0.0033574917541675676,-0.08416463530664663
2.2981532102140143,0.0032732541305908985,-0.08429817331274489
2.299153276885126,0.003188884589195998,-0.08442839985101802
2.300153343556237,0.0031043864538729785,-0.08455530943933841
2.3011534102273488,0.0030197630560126164,-0.08467889672177027
2.30215347689846,0.0029350177345066454,-0.08479915646856921
2.3031535435695716,0.002850153835747459,-0.08491608357618265
2.3041536102406828,0.0027651747136284125,-0.08502967306724937
2.3051536769117944,0.002680083729543518,-0.08513992009060008
2.3061537435829056,0.002594884252387747,-0.08524681992125674
2.3071538102540172,0.002509579636868556,-0.0853503680076378
2.3081538769251284,0.002424173103933435,-0.08545056023180883
2.30915394359624,0.002338667982541485,-0.08554739238326416
2.3101540102673512,0.002253067634569755,-0.08564086032236921
2.311154076938463,0.0021673754275094263,-0.08573096003978721
2.312154143609574,0.002081594734466109,-0.0858176876564789
2.3131542102806857,0.001995728934159542,-0.08590103942370288
2.314154276951797,0.001909781410923897,-0.08598101172301516
2.3151543436229085,0.0018237555547074723,-0.08605760106626965
2.3161544102940197,0.0017376547610729993,-0.08613080409561774
2.3171544769651313,0.0016514824311973362,-0.0862006175835086
2.3181545436362425,0.0015652419718717744,-0.08626703843268896
2.319154610307354,0.001478936795501732,-0.0863300636762033
2.3201546769784653,0.0013925703201070605,-0.08638969047739369
2.321154743649577,0.0013061459693217378,-0.08644591612989992
2.322154810320688,0.0012196671723941747,-0.08649873805765938
2.3231548769918,0.0011331373641869094,-0.0865481538149072
2.324154943662911,0.0010465599851769136,-0.08659416108617603
2.3251550103340226,0.0009599383967856516,-0.08663675782146937
2.326155077005134,0.0008732758547994877,-0.08667594227869556
2.3271551436762454,0.0007865757661727354,-0.08671171261368739
2.3281552103473566,0.0006998415457983931,-0.08674406710886463
2.3291552770184683,0.0006130766117772233,-0.0867730041807866
2.3301553436895794,0.0005262843854180598,-0.08679852238015169
2.331155410360691,0.00043946829123749933,-0.08682062039179796
2.3321554770318023,0.00035263175696021023,-0.08683929703470263
2.333155543702914,0.0002657782135186235,-0.0868545512619823
2.334155610374025,0.00017891109505324245,-0.08686638216089301
2.3351556770451367,9.203383891233258e-05,-0.08687478895283007
2.336155743716248,5.14988565223136e-06,-0.08687977099332828
2.3371558103873595,-8.173732096296068e-05,-0.08688132777206162
2.3381558770584707,-0.00016862433396107175,-0.08687945891284359
2.3391559437295824,-0.0002555077031621668,-0.08687416417362692
2.3401560104006935,-0.00034238397517823924,-0.08686544344650383
2.341156077071805,-0.00042924969341351973,-0.08685329675770583
2.3421561437429164,-0.0005161014006732601,-0.08683772426952177
2.343156210414028,-0.0006029357987669246,-0.08681872639762696
2.344156277085139,-0.0006897495511166375,-0.08679630366597466
2.345156343756251,-0.0007765392342068486,-0.08677045667110501
2.346156410427362,-0.0008633014236922443,-0.08674118614544603
2.3471564770984736,-0.000950032694398054,-0.08670849295731328
2.348156543769585,-0.0010367296203197434,-0.08667237811091018
2.3491566104406965,-0.0011233887746233224,-0.08663284274632779
2.3501566771118076,-0.0012100067296450365,-0.08658988813954499
2.3511567437829193,-0.0012965800568916748,-0.0865435157024283
2.3521568104540305,-0.0013831053270402637,-0.08649372698273204
2.353156877125142,-0.001469579109938372,-0.08644052366409817
2.3541569437962533,-0.0015559979746038045,-0.08638390756605649
2.355157010467365,-0.0016423584892249112,-0.08632388064402438
2.356157077138476,-0.001728657221160277,-0.0862604449893071
2.3571571438095877,-0.0018148907369390302,-0.08619360282909752
2.358157210480699,-0.0019010556022605373,-0.08612335652647633
2.3591572771518106,-0.0019871483819947056,-0.08604970858041185
2.3601573438229217,-0.00207316567042137,-0.08597266162702394
2.3611574104940334,-0.0021591042396421132,-0.085892218445786
2.3621574771651446,-0.0022449607291598578,-0.08580838194655262
2.363157543836256,-0.002330731747819356,-0.08572115517381937
2.3641576105073674,-0.002416413906043032,-0.08563054130807037
2.3651576771784786,-0.0025020038158312455,-0.08553654366577788
2.36615774384959,-0.002587498090762184,-0.0854391656994026
2.3671578105207014,-0.0026728933459917426,-0.08533841099739363
2.368157877191813,-0.0027581861982537907,-0.08523428328418817
2.369157943862924,-0.002843373265859873,-0.08512678642021207
2.370158010534036,-0.0029284511686995087,-0.08501592440187919
2.371158077205147,-0.0030134165282398886,-0.08490170136159204
2.3721581438762587,-0.0030982659675261796,-0.08478412156774116
2.37315821054737,-0.0031829961111812213,-0.08466318942470569
2.3741582772184815,-0.0032676035854058275,-0.08453890947285288
2.3751583438895927,-0.003352085017978486,-0.08441128638853855
2.3761584105607043,-0.0034364370382556583,-0.08428032498410658
2.3771584772318155,-0.0035206562771714803,-0.08414603020788945
2.378158543902927,-0.0036047379330688056,-0.08400840813242086
2.3791586105740383,-0.003688682278548281,-0.08386746147089713
2.38015867724515,-0.0037724839845139618,-0.08372319693343425
2.381158743916261,-0.003856139751808918,-0.08357561996849618
2.3821588105873728,-0.003939646283235969,-0.0834247361602718
2.383158877258484,-0.0040230002836925205,-0.08327055122858251
2.3841589439295956,-0.00410619846030599,-0.08311307102878844
2.385159010600707,-0.004189237522568648,-0.08295230155169593
2.3861590772718184,-0.004272114182473047,-0.08278824892346387
2.3871591439429296,-0.004354825154646856,-0.0826209194055111
2.3881592106140412,-0.004437367156488293,-0.08245031939442281
2.3891592772851524,-0.004519736908300963,-0.08227645542185798
2.390159343956264,-0.0046019311334292825,-0.08209933415445553
2.3911594106273752,-0.004683946558393323,-0.08191896239374208
2.392159477298487,-0.0047657799130242364,-0.08173534707603802
2.393159543969598,-0.004847427930599095,-0.08154849527236506
2.3941596106407097,-0.004928887347976313,-0.0813584141883525
2.395159677311821,-0.005010154908811812,-0.08116511115945928
2.3961597439829325,-0.005091227509782141,-0.08096859342873487
2.3971598106540437,-0.005172102012226825,-0.08076886843335415
2.3981598773251553,-0.0052527752102234145,-0.08056594385327542
2.3991599439962665,-0.00533324390500436,-0.0803598274981926
2.400160010667378,-0.005413504905174209,-0.08015052730731713
2.4011600773384894,-0.005493555026926244,-0.07993805134916118
2.402160144009601,-0.005573391094259657,-0.07972240782131935
2.403160210680712,-0.0056530099391961935,-0.0795036050502521
2.404160277351824,-0.005732408401997342,-0.07928165149106745
2.405160344022935,-0.005811583331380961,-0.07905655572730427
2.4061604106940466,-0.005890531584738476,-0.07882832647071411
2.407160477365158,-0.005969250028351501,-0.0785969725610444
2.4081605440362694,-0.006047735537609046,-0.07836250296582031
2.4091606107073806,-0.00612598499722413,-0.07812492678012795
2.4101606773784923,-0.006203995301450982,-0.07788425322639624
2.4111607440496035,-0.006281763354301677,-0.07764049165418019
2.412160810720715,-0.006359286069763314,-0.07739365153994256
2.4131608773918263,-0.006436560372014659,-0.07714374248683731
2.414160944062938,-0.006513583195643328,-0.07689077422449125
2.415161010734049,-0.006590351485862429,-0.07663475660878745
2.4161610774051607,-0.0066668621987277365,-0.07637569962164684
2.417161144076272,-0.006743112301354342,-0.0761136133708117
2.4181612107473835,-0.006819098749828782,-0.07584850793192162
2.4191612774184947,-0.006894818505140206,-0.07558039345940486
2.4201613440896064,-0.006970268560827762,-0.07530928038020265
2.4211614107607176,-0.007045445921798435,-0.07503517924225464
2.422161477431829,-0.0071203476045215595,-0.0747581007141199
2.4231615441029404,-0.007194970637229415,-0.07447805558464714
2.424161610774052,-0.007269312060118362,-0.07419505476264288
2.425161677445163,-0.007343368925549437,-0.0739091092765414
2.426161744116275,-0.007417138298249487,-0.07362023027407281
2.427161810787386,-0.007490617255511766,-0.07332842902193329
2.4281618774584977,-0.0075638028873970635,-0.07303371690545295
2.429161944129609,-0.007636692296934307,-0.07273610542826602
2.4301620108007205,-0.007709282600321695,-0.072435606211979
2.4311620774718317,-0.007781570927127294,-0.07213223099584062
2.4321621441429433,-0.007853554420490162,-0.07182599163640993
2.4331622108140545,-0.007925230237320963,-0.07151690010722647
2.434162277485166,-0.00799659554850308,-0.07120496849847821
2.4351623441562773,-0.008067647539093234,-0.07089020901667185
2.436162410827389,-0.008138383408522592,-0.07057263398430058
2.4371624774985,-0.008208800370797381,-0.07025225583951447
2.4381625441696118,-0.008278895654700023,-0.06992908713578835
2.439162610840723,-0.008348666503989723,-0.06960314054159195
2.4401626775118346,-0.008418110110577501,-0.06927442875787959
2.4411627441829458,-0.00848722359167467,-0.06894296448949663
2.442162810854057,-0.008556004196794233,-0.06860876069839884
2.4431628775251686,-0.008624449192627077,-0.06827183046192603
2.4441629441962798,-0.008692555859193592,-0.06793218696750729
2.4451630108673914,-0.008760321489971258,-0.0675898435122386
2.4461630775385026,-0.008827743392021747,-0.06724481350246332
2.4471631442096142,-0.008894818886118537,-0.06689711045334969
2.4481632108807254,-0.00896154530687402,-0.06654674798847109
2.449163277551837,-0.009027920002867113,-0.06619373983938384
2.4501633442229482,-0.009093940336770367,-0.06583809984520726
2.45116341089406,-0.00915960368547757,-0.06547984195220147
2.452163477565171,-0.009224907440230874,-0.06511898021334758
2.4531635442362827,-0.009289849006748377,-0.06475552878792534
2.454163610907394,-0.009354425805351257,-0.0643895019410935
2.4551636775785055,-0.009418635271091364,-0.06402091404346723
2.4561637442496167,-0.009482474853878355,-0.0636497795706987
2.4571638109207283,-0.009545942018607256,-0.06327611310305443
2.4581638775918395,-0.009609034245285634,-0.06289992932499582
2.459163944262951,-0.009671749029161146,-0.0625212430247565
2.4601640109340623,-0.00973408388084869,-0.06214006909392291
2.461164077605174,-0.009796036326457995,-0.0617564225270117
2.462164144276285,-0.009857603898408352,-0.06137031838228881
2.463164210947397,-0.009918784114607697,-0.060981771694151886
2.464164277618508,-0.009979574536541908,-0.06059079771396949
2.4651643442896196,-0.01003997274449299,-0.06019741180597695
2.466164410960731,-0.010099976334252256,-0.05980162943264669
2.4671644776318424,-0.010159582917230575,-0.05940346615419359
2.4681645443029536,-0.010218790120568184,-0.05900293762808331
2.4691646109740653,-0.010277595587244927,-0.05860005960853764
2.4701646776451764,-0.010335996976190065,-0.05819484794604267
2.471164744316288,-0.010393991962392522,-0.0577873185868543
2.4721648109873993,-0.010451578237010699,-0.05737748757250636
2.473164877658511,-0.0105087535074827,-0.056965371039316065
2.474164944329622,-0.010565515497636176,-0.056550985217892265
2.4751650110007337,-0.01062186194779852,-0.05613434643264073
2.476165077671845,-0.010677790614906733,-0.055715471101272535
2.4771651443429565,-0.010733299272617612,-0.055294375734309315
2.4781652110140677,-0.010788385711417608,-0.0548710769345916
2.4791652776851794,-0.010843047738733033,-0.05444559139678413
2.4801653443562905,-0.010897283179039895,-0.05401793590688411
2.481165411027402,-0.01095108987397413,-0.05358812734172665
2.4821654776985134,-0.011004465682441403,-0.05315618266849293
2.483165544369625,-0.011057408480727383,-0.05272211894421559
2.484165611040736,-0.011109916159259112,-0.052285953287842024
2.485165677711848,-0.01116198660088858,-0.05184770270083773
2.486165744382959,-0.01121361772318371,-0.05140738441243147
2.4871658110540706,-0.011264807466472756,-0.05096501578022334
