boundaryloss,physicsloss,totalloss
0.0003199684724677354,0.0024714400060474873,0.002791408449411392
0.0003095935098826885,0.0024432537611573935,0.002752847271040082
0.00029656977858394384,0.0024208170361816883,0.002717386931180954
0.0002837130450643599,0.0024011472705751657,0.0026848602574318647
0.00027324334951117635,0.0023811424616724253,0.0026543857529759407
0.0002664094208739698,0.0023585318122059107,0.0026249412912875414
0.0002634577394928783,0.002332368167117238,0.002595825819298625
0.00026384787634015083,0.002302861772477627,0.0025667096488177776
0.00026653305394575,0.002270952332764864,0.002537485444918275
0.0002701906196307391,0.002237978158518672,0.0025081688072532415
0.00027344259433448315,0.002205408876761794,0.0024788514710962772
0.0002750443236436695,0.002174589317291975,0.002449633553624153
0.00027404658612795174,0.0021464850287884474,0.0024205315858125687
0.00026994768995791674,0.002121550962328911,0.0023914985358715057
